X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0997
0.0007,-0.0001,0.0996
0.0007,-0.0000,0.0994
0.0008,-0.0000,0.0993
0.0009,-0.0000,0.0991
0.0009,-0.0000,0.0989
0.0010,0.0000,0.0987
0.0010,0.0000,0.0985
0.0011,0.0000,0.0983
0.0012,0.0000,0.0982
0.0012,0.0000,0.0980
0.0013,0.0000,0.0977
0.0014,0.0000,0.0975
0.0015,0.0000,0.0973
0.0015,0.0000,0.0971
0.0016,-0.0000,0.0969
0.0017,-0.0000,0.0967
0.0018,-0.0000,0.0965
0.0019,-0.0000,0.0963
0.0020,-0.0001,0.0960
0.0021,-0.0001,0.0958
0.0022,-0.0001,0.0956
0.0023,-0.0001,0.0954
0.0024,-0.0001,0.0951
0.0025,-0.0001,0.0949
0.0027,-0.0002,0.0947
0.0028,-0.0002,0.0945
0.0029,-0.0002,0.0942
0.0030,-0.0002,0.0940
0.0031,-0.0002,0.0938
0.0032,-0.0002,0.0936
0.0034,-0.0002,0.0934
0.0035,-0.0002,0.0931
0.0036,-0.0002,0.0929
0.0038,-0.0002,0.0927
0.0039,-0.0002,0.0925
0.0040,-0.0002,0.0922
0.0042,-0.0002,0.0920
0.0043,-0.0002,0.0918
0.0044,-0.0002,0.0916
0.0046,-0.0002,0.0914
0.0047,-0.0002,0.0912
0.0049,-0.0002,0.0910
0.0050,-0.0002,0.0907
0.0052,-0.0002,0.0905
0.0053,-0.0001,0.0903
0.0055,-0.0001,0.0901
0.0057,-0.0001,0.0899
0.0058,-0.0001,0.0897
0.0060,-0.0000,0.0895
0.0062,-0.0000,0.0893
0.0063,0.0000,0.0891
0.0065,0.0000,0.0889
0.0067,0.0001,0.0887
0.0069,0.0001,0.0885
0.0071,0.0001,0.0884
0.0073,0.0002,0.0882
0.0075,0.0002,0.0880
0.0077,0.0003,0.0878
0.0079,0.0003,0.0876
0.0081,0.0003,0.0874
0.0083,0.0004,0.0873
0.0085,0.0004,0.0871
0.0087,0.0005,0.0869
0.0089,0.0005,0.0868
0.0092,0.0006,0.0866
0.0094,0.0006,0.0864
0.0096,0.0007,0.0863
0.0098,0.0007,0.0861
0.0101,0.0008,0.0859
0.0103,0.0008,0.0858
0.0106,0.0009,0.0856
0.0108,0.0010,0.0855
0.0111,0.0010,0.0853
0.0113,0.0011,0.0852
0.0116,0.0011,0.0850
0.0119,0.0012,0.0849
0.0121,0.0012,0.0847
0.0124,0.0013,0.0846
0.0127,0.0014,0.0844
0.0129,0.0014,0.0843
0.0132,0.0015,0.0841
0.0135,0.0015,0.0840
0.0138,0.0016,0.0839
0.0141,0.0017,0.0837
0.0144,0.0017,0.0836
0.0147,0.0018,0.0834
0.0150,0.0018,0.0833
0.0153,0.0019,0.0832
0.0155,0.0019,0.0830
0.0159,0.0020,0.0829
0.0162,0.0020,0.0828
0.0165,0.0021,0.0826
0.0168,0.0021,0.0825
0.0171,0.0022,0.0824
0.0174,0.0022,0.0822
0.0177,0.0023,0.0821
0.0180,0.0023,0.0820
0.0183,0.0024,0.0818
0.0187,0.0024,0.0817
0.0190,0.0024,0.0816
0.0193,0.0025,0.0814
0.0196,0.0025,0.0813
0.0200,0.0026,0.0812
0.0203,0.0026,0.0810
0.0206,0.0026,0.0809
0.0210,0.0026,0.0808
0.0213,0.0027,0.0807
0.0216,0.0027,0.0805
0.0220,0.0027,0.0804
0.0223,0.0027,0.0803
0.0227,0.0028,0.0802
0.0230,0.0028,0.0800
0.0233,0.0028,0.0799
0.0237,0.0028,0.0798
0.0240,0.0029,0.0797
0.0244,0.0029,0.0796
0.0248,0.0029,0.0794
0.0251,0.0029,0.0793
0.0255,0.0029,0.0792
0.0258,0.0029,0.0791
0.0262,0.0029,0.0790
0.0266,0.0029,0.0789
0.0269,0.0029,0.0788
0.0273,0.0029,0.0787
0.0277,0.0029,0.0786
0.0280,0.0029,0.0785
0.0284,0.0029,0.0784
0.0288,0.0029,0.0783
0.0292,0.0029,0.0782
0.0295,0.0029,0.0781
0.0299,0.0029,0.0780
0.0303,0.0029,0.0779
0.0307,0.0029,0.0778
0.0310,0.0028,0.0777
0.0314,0.0028,0.0777
0.0318,0.0028,0.0776
0.0322,0.0028,0.0775
0.0326,0.0028,0.0775
0.0329,0.0028,0.0774
0.0333,0.0027,0.0774
0.0337,0.0027,0.0773
0.0340,0.0027,0.0773
0.0344,0.0027,0.0773
0.0348,0.0026,0.0772
0.0351,0.0026,0.0772
0.0355,0.0026,0.0772
0.0358,0.0025,0.0772
0.0362,0.0025,0.0772
0.0365,0.0025,0.0771
0.0369,0.0024,0.0771
0.0372,0.0024,0.0771
0.0375,0.0023,0.0771
0.0379,0.0023,0.0771
0.0382,0.0022,0.0771
0.0385,0.0022,0.0771
0.0389,0.0021,0.0771
0.0392,0.0021,0.0771
0.0395,0.0020,0.0771
0.0398,0.0020,0.0771
0.0402,0.0019,0.0771
0.0405,0.0019,0.0771
0.0408,0.0018,0.0772
0.0412,0.0017,0.0772
0.0415,0.0017,0.0772
0.0418,0.0016,0.0772
0.0422,0.0016,0.0772
0.0425,0.0015,0.0773
0.0428,0.0014,0.0773
0.0432,0.0014,0.0773
0.0435,0.0013,0.0773
0.0438,0.0013,0.0774
0.0441,0.0012,0.0774
0.0445,0.0011,0.0774
0.0448,0.0011,0.0775
0.0451,0.0010,0.0775
0.0454,0.0010,0.0775
0.0457,0.0009,0.0776
0.0461,0.0008,0.0776
0.0464,0.0008,0.0776
0.0467,0.0007,0.0777
0.0470,0.0006,0.0777
0.0473,0.0006,0.0778
0.0476,0.0005,0.0778
0.0479,0.0005,0.0779
0.0482,0.0004,0.0779
0.0485,0.0003,0.0780
0.0488,0.0003,0.0780
0.0491,0.0002,0.0780
0.0494,0.0002,0.0781
0.0497,0.0001,0.0781
0.0500,0.0001,0.0782
0.0503,0.0000,0.0783
0.0506,-0.0000,0.0783
0.0509,-0.0001,0.0784
0.0512,-0.0001,0.0784
0.0515,-0.0002,0.0785
0.0518,-0.0002,0.0785
