X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0001,-0.0000,0.1000
-0.0001,-0.0000,0.1001
-0.0001,-0.0001,0.1001
0.0000,-0.0001,0.1001
0.0001,-0.0001,0.1000
0.0002,-0.0001,0.1000
0.0002,-0.0001,0.0999
0.0003,-0.0001,0.0998
0.0004,-0.0001,0.0997
0.0004,-0.0001,0.0996
0.0005,-0.0001,0.0995
0.0005,-0.0001,0.0994
0.0006,-0.0001,0.0993
0.0007,-0.0001,0.0992
0.0008,-0.0001,0.0991
0.0009,-0.0001,0.0990
0.0010,-0.0002,0.0989
0.0011,-0.0002,0.0988
0.0013,-0.0003,0.0987
0.0014,-0.0003,0.0987
0.0016,-0.0003,0.0986
0.0018,-0.0004,0.0985
0.0020,-0.0004,0.0984
0.0021,-0.0004,0.0984
0.0023,-0.0004,0.0983
0.0025,-0.0004,0.0983
0.0026,-0.0004,0.0982
0.0028,-0.0004,0.0982
0.0029,-0.0004,0.0982
0.0031,-0.0003,0.0981
0.0032,-0.0003,0.0981
0.0033,-0.0003,0.0981
0.0035,-0.0003,0.0981
0.0036,-0.0003,0.0981
0.0038,-0.0003,0.0981
0.0039,-0.0002,0.0981
0.0041,-0.0002,0.0981
0.0042,-0.0001,0.0982
0.0044,-0.0001,0.0982
0.0046,-0.0001,0.0982
0.0047,-0.0002,0.0982
0.0049,-0.0002,0.0982
0.0051,-0.0002,0.0982
0.0053,-0.0001,0.0982
0.0054,-0.0001,0.0982
0.0056,-0.0000,0.0982
0.0058,0.0000,0.0982
0.0060,0.0000,0.0983
0.0062,-0.0000,0.0983
0.0064,-0.0000,0.0983
0.0066,-0.0001,0.0983
0.0068,-0.0000,0.0983
0.0070,0.0000,0.0983
0.0072,0.0001,0.0983
0.0074,0.0001,0.0983
0.0076,0.0002,0.0982
0.0078,0.0001,0.0982
0.0080,0.0001,0.0982
0.0082,0.0001,0.0982
0.0084,0.0001,0.0982
0.0086,0.0001,0.0982
0.0088,0.0001,0.0982
0.0091,0.0002,0.0982
0.0093,0.0002,0.0982
0.0095,0.0003,0.0981
0.0097,0.0003,0.0981
0.0099,0.0002,0.0981
0.0101,0.0002,0.0981
0.0104,0.0002,0.0981
0.0106,0.0002,0.0981
0.0108,0.0002,0.0980
0.0110,0.0003,0.0980
0.0113,0.0003,0.0980
0.0115,0.0004,0.0980
0.0117,0.0004,0.0979
0.0119,0.0004,0.0979
0.0122,0.0003,0.0979
0.0124,0.0003,0.0979
0.0126,0.0003,0.0978
0.0128,0.0003,0.0978
0.0131,0.0004,0.0978
0.0133,0.0005,0.0977
0.0136,0.0005,0.0977
0.0138,0.0005,0.0977
0.0140,0.0005,0.0976
0.0143,0.0005,0.0976
0.0145,0.0004,0.0976
0.0147,0.0004,0.0975
0.0150,0.0005,0.0975
0.0152,0.0005,0.0974
0.0155,0.0006,0.0974
0.0157,0.0006,0.0974
0.0160,0.0006,0.0973
0.0162,0.0006,0.0973
0.0164,0.0006,0.0972
0.0167,0.0006,0.0972
0.0169,0.0006,0.0971
0.0172,0.0006,0.0971
0.0174,0.0006,0.0970
0.0177,0.0007,0.0970
0.0179,0.0007,0.0969
0.0182,0.0007,0.0969
0.0185,0.0007,0.0968
0.0187,0.0007,0.0968
0.0189,0.0007,0.0967
0.0192,0.0007,0.0967
0.0195,0.0007,0.0966
0.0197,0.0007,0.0966
0.0200,0.0008,0.0965
0.0202,0.0008,0.0964
0.0205,0.0009,0.0964
0.0207,0.0009,0.0963
0.0210,0.0009,0.0963
0.0213,0.0008,0.0962
0.0215,0.0008,0.0961
0.0218,0.0008,0.0961
0.0220,0.0008,0.0960
0.0223,0.0009,0.0960
0.0226,0.0009,0.0959
0.0228,0.0010,0.0958
0.0231,0.0010,0.0957
0.0234,0.0010,0.0957
0.0236,0.0010,0.0956
0.0239,0.0010,0.0955
0.0241,0.0009,0.0955
0.0244,0.0010,0.0954
0.0247,0.0010,0.0953
0.0249,0.0010,0.0953
0.0252,0.0011,0.0952
0.0255,0.0011,0.0951
0.0257,0.0011,0.0950
0.0260,0.0011,0.0950
0.0263,0.0011,0.0949
0.0265,0.0011,0.0948
0.0268,0.0011,0.0947
0.0271,0.0011,0.0946
0.0273,0.0012,0.0946
0.0276,0.0012,0.0945
0.0279,0.0012,0.0944
0.0281,0.0013,0.0943
0.0284,0.0012,0.0942
0.0287,0.0012,0.0942
0.0289,0.0012,0.0941
0.0292,0.0012,0.0940
0.0295,0.0013,0.0939
0.0297,0.0013,0.0938
0.0300,0.0013,0.0937
0.0303,0.0014,0.0936
0.0305,0.0013,0.0935
0.0308,0.0013,0.0935
0.0311,0.0013,0.0934
0.0314,0.0013,0.0933
0.0316,0.0013,0.0932
0.0319,0.0014,0.0931
0.0322,0.0014,0.0930
0.0324,0.0014,0.0929
0.0327,0.0015,0.0928
0.0330,0.0014,0.0927
0.0333,0.0014,0.0926
0.0335,0.0014,0.0925
0.0338,0.0014,0.0924
0.0341,0.0014,0.0923
0.0343,0.0015,0.0922
0.0346,0.0015,0.0921
0.0349,0.0015,0.0920
0.0352,0.0015,0.0919
0.0354,0.0015,0.0918
0.0357,0.0015,0.0917
0.0360,0.0015,0.0916
0.0362,0.0015,0.0915
0.0365,0.0016,0.0914
0.0368,0.0016,0.0913
0.0371,0.0016,0.0912
0.0373,0.0017,0.0911
0.0376,0.0016,0.0910
0.0379,0.0016,0.0909
0.0382,0.0016,0.0907
0.0384,0.0016,0.0906
0.0387,0.0016,0.0905
0.0390,0.0017,0.0904
0.0392,0.0017,0.0903
0.0395,0.0018,0.0902
0.0398,0.0018,0.0901
0.0401,0.0018,0.0900
0.0403,0.0018,0.0899
0.0406,0.0018,0.0898
0.0409,0.0018,0.0897
0.0412,0.0018,0.0896
0.0415,0.0018,0.0895
0.0417,0.0019,0.0894
0.0420,0.0019,0.0893
0.0423,0.0019,0.0892
