X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0001,-0.0000,0.1000
-0.0001,-0.0000,0.1001
-0.0000,-0.0001,0.1001
0.0000,-0.0001,0.1000
0.0001,-0.0001,0.1000
0.0002,-0.0001,0.0999
0.0002,-0.0001,0.0999
0.0003,-0.0001,0.0998
0.0003,-0.0001,0.0997
0.0004,-0.0001,0.0996
0.0004,-0.0001,0.0995
0.0004,-0.0001,0.0993
0.0004,-0.0001,0.0992
0.0005,-0.0001,0.0991
0.0005,-0.0002,0.0989
0.0005,-0.0002,0.0988
0.0006,-0.0002,0.0986
0.0006,-0.0002,0.0984
0.0006,-0.0002,0.0983
0.0007,-0.0003,0.0981
0.0007,-0.0003,0.0979
0.0008,-0.0003,0.0977
0.0008,-0.0003,0.0975
0.0009,-0.0003,0.0973
0.0009,-0.0004,0.0970
0.0010,-0.0004,0.0968
0.0010,-0.0004,0.0966
0.0011,-0.0004,0.0963
0.0011,-0.0005,0.0961
0.0012,-0.0005,0.0959
0.0013,-0.0005,0.0956
0.0013,-0.0006,0.0953
0.0014,-0.0006,0.0951
0.0015,-0.0006,0.0948
0.0015,-0.0006,0.0945
0.0016,-0.0007,0.0943
0.0017,-0.0007,0.0940
0.0017,-0.0007,0.0937
0.0018,-0.0007,0.0934
0.0019,-0.0008,0.0931
0.0020,-0.0008,0.0928
0.0020,-0.0008,0.0925
0.0021,-0.0008,0.0922
0.0022,-0.0009,0.0919
0.0023,-0.0009,0.0916
0.0023,-0.0009,0.0912
0.0024,-0.0009,0.0909
0.0025,-0.0010,0.0906
0.0026,-0.0010,0.0902
0.0026,-0.0010,0.0899
0.0027,-0.0010,0.0896
0.0028,-0.0010,0.0892
0.0029,-0.0011,0.0889
0.0029,-0.0011,0.0885
0.0030,-0.0011,0.0882
0.0031,-0.0011,0.0878
0.0032,-0.0012,0.0875
0.0033,-0.0012,0.0871
0.0033,-0.0012,0.0867
0.0034,-0.0012,0.0864
0.0035,-0.0012,0.0860
0.0036,-0.0012,0.0856
0.0037,-0.0013,0.0852
0.0038,-0.0013,0.0848
0.0038,-0.0013,0.0845
0.0039,-0.0013,0.0841
0.0040,-0.0013,0.0837
0.0041,-0.0013,0.0833
0.0042,-0.0014,0.0829
0.0043,-0.0014,0.0825
0.0044,-0.0014,0.0821
0.0045,-0.0014,0.0817
0.0046,-0.0014,0.0813
0.0046,-0.0014,0.0809
0.0047,-0.0014,0.0805
0.0048,-0.0014,0.0801
0.0049,-0.0014,0.0797
0.0050,-0.0014,0.0793
0.0051,-0.0015,0.0789
0.0052,-0.0015,0.0785
0.0053,-0.0015,0.0780
0.0054,-0.0015,0.0776
0.0055,-0.0015,0.0772
0.0056,-0.0015,0.0768
0.0057,-0.0015,0.0764
0.0058,-0.0015,0.0760
0.0059,-0.0015,0.0755
0.0060,-0.0015,0.0751
0.0062,-0.0015,0.0747
0.0063,-0.0015,0.0743
0.0064,-0.0015,0.0739
0.0065,-0.0015,0.0734
0.0066,-0.0015,0.0730
0.0067,-0.0014,0.0726
0.0068,-0.0014,0.0722
0.0070,-0.0014,0.0718
0.0071,-0.0014,0.0713
0.0072,-0.0014,0.0709
0.0073,-0.0014,0.0705
0.0074,-0.0014,0.0701
0.0076,-0.0014,0.0697
0.0077,-0.0013,0.0692
0.0078,-0.0013,0.0688
0.0080,-0.0013,0.0684
0.0081,-0.0013,0.0680
0.0082,-0.0013,0.0676
0.0084,-0.0012,0.0672
0.0085,-0.0012,0.0667
0.0086,-0.0012,0.0663
0.0088,-0.0011,0.0659
0.0089,-0.0011,0.0655
0.0090,-0.0011,0.0651
0.0092,-0.0010,0.0647
0.0093,-0.0010,0.0643
0.0095,-0.0010,0.0639
0.0096,-0.0009,0.0635
0.0098,-0.0009,0.0631
0.0099,-0.0008,0.0627
0.0101,-0.0008,0.0624
0.0102,-0.0007,0.0620
0.0104,-0.0006,0.0616
0.0105,-0.0006,0.0612
0.0107,-0.0005,0.0609
0.0108,-0.0005,0.0605
0.0110,-0.0004,0.0602
0.0112,-0.0003,0.0598
0.0114,-0.0002,0.0595
0.0115,-0.0002,0.0591
0.0117,-0.0001,0.0588
0.0119,-0.0000,0.0585
0.0121,0.0001,0.0581
0.0123,0.0001,0.0578
0.0124,0.0002,0.0575
0.0126,0.0003,0.0572
0.0128,0.0004,0.0569
0.0130,0.0005,0.0566
0.0133,0.0005,0.0564
0.0135,0.0006,0.0561
0.0137,0.0007,0.0558
0.0139,0.0007,0.0556
0.0141,0.0008,0.0553
0.0143,0.0009,0.0551
0.0146,0.0009,0.0548
0.0148,0.0010,0.0546
0.0150,0.0010,0.0544
0.0153,0.0011,0.0542
0.0155,0.0011,0.0540
0.0158,0.0012,0.0538
0.0160,0.0012,0.0536
0.0163,0.0013,0.0534
0.0165,0.0013,0.0532
0.0168,0.0014,0.0531
0.0170,0.0014,0.0529
0.0173,0.0014,0.0528
0.0176,0.0014,0.0527
0.0178,0.0015,0.0525
0.0181,0.0015,0.0524
0.0184,0.0015,0.0523
0.0186,0.0015,0.0522
0.0189,0.0015,0.0521
0.0192,0.0015,0.0520
0.0194,0.0015,0.0519
0.0197,0.0015,0.0518
0.0200,0.0015,0.0518
0.0203,0.0015,0.0517
0.0205,0.0015,0.0516
0.0208,0.0015,0.0515
0.0211,0.0015,0.0515
0.0213,0.0015,0.0514
0.0216,0.0015,0.0514
0.0219,0.0015,0.0513
0.0222,0.0015,0.0513
0.0224,0.0015,0.0512
0.0227,0.0015,0.0512
0.0230,0.0015,0.0512
0.0232,0.0015,0.0511
0.0235,0.0014,0.0511
0.0238,0.0014,0.0511
0.0240,0.0014,0.0511
0.0243,0.0014,0.0510
0.0245,0.0014,0.0510
0.0248,0.0014,0.0510
0.0251,0.0013,0.0510
0.0253,0.0013,0.0510
0.0256,0.0013,0.0510
0.0258,0.0013,0.0510
