X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0001,-0.0001,0.1002
-0.0000,-0.0001,0.1002
0.0001,-0.0001,0.1002
0.0002,-0.0001,0.1001
0.0003,-0.0001,0.1000
0.0004,-0.0001,0.0999
0.0005,-0.0001,0.0998
0.0006,-0.0000,0.0997
0.0006,-0.0000,0.0996
0.0007,0.0000,0.0994
0.0007,0.0000,0.0993
0.0008,0.0001,0.0991
0.0008,0.0001,0.0989
0.0009,0.0001,0.0988
0.0010,0.0001,0.0986
0.0010,0.0001,0.0984
0.0011,0.0002,0.0983
0.0012,0.0002,0.0981
0.0012,0.0002,0.0979
0.0013,0.0002,0.0977
0.0014,0.0002,0.0975
0.0015,0.0002,0.0973
0.0016,0.0002,0.0971
0.0017,0.0001,0.0969
0.0017,0.0001,0.0967
0.0018,0.0001,0.0966
0.0019,0.0001,0.0964
0.0020,0.0001,0.0962
0.0021,0.0001,0.0960
0.0022,0.0001,0.0958
0.0024,0.0000,0.0956
0.0025,0.0000,0.0954
0.0026,0.0000,0.0952
0.0027,0.0000,0.0950
0.0028,0.0000,0.0948
0.0029,0.0000,0.0946
0.0030,0.0000,0.0944
0.0031,0.0000,0.0942
0.0032,0.0000,0.0940
0.0033,0.0000,0.0939
0.0034,0.0000,0.0937
0.0035,0.0000,0.0935
0.0036,0.0000,0.0933
0.0037,0.0000,0.0931
0.0038,0.0001,0.0930
0.0039,0.0001,0.0928
0.0040,0.0001,0.0926
0.0041,0.0001,0.0924
0.0042,0.0001,0.0923
0.0044,0.0002,0.0921
0.0045,0.0002,0.0919
0.0046,0.0002,0.0918
0.0047,0.0002,0.0916
0.0048,0.0003,0.0915
0.0050,0.0003,0.0913
0.0051,0.0003,0.0912
0.0052,0.0004,0.0910
0.0054,0.0004,0.0909
0.0055,0.0004,0.0907
0.0056,0.0005,0.0906
0.0058,0.0005,0.0905
0.0059,0.0006,0.0903
0.0061,0.0006,0.0902
0.0062,0.0007,0.0901
0.0064,0.0007,0.0900
0.0065,0.0008,0.0898
0.0067,0.0008,0.0897
0.0068,0.0009,0.0896
0.0070,0.0009,0.0895
0.0072,0.0010,0.0894
0.0074,0.0011,0.0893
0.0075,0.0011,0.0892
0.0077,0.0012,0.0891
0.0079,0.0012,0.0890
0.0081,0.0013,0.0889
0.0082,0.0014,0.0888
0.0084,0.0014,0.0887
0.0086,0.0015,0.0886
0.0088,0.0015,0.0885
0.0090,0.0016,0.0884
0.0092,0.0017,0.0883
0.0094,0.0017,0.0882
0.0096,0.0018,0.0881
0.0098,0.0018,0.0880
0.0100,0.0019,0.0879
0.0102,0.0019,0.0878
0.0104,0.0020,0.0878
0.0106,0.0021,0.0877
0.0108,0.0021,0.0876
0.0111,0.0022,0.0875
0.0113,0.0022,0.0874
0.0115,0.0023,0.0873
0.0117,0.0023,0.0872
0.0119,0.0024,0.0872
0.0121,0.0024,0.0871
0.0124,0.0025,0.0870
0.0126,0.0025,0.0869
0.0128,0.0025,0.0868
0.0130,0.0026,0.0868
0.0133,0.0026,0.0867
0.0135,0.0027,0.0866
0.0137,0.0027,0.0865
0.0139,0.0028,0.0864
0.0142,0.0028,0.0864
0.0144,0.0028,0.0863
0.0146,0.0029,0.0862
0.0149,0.0029,0.0861
0.0151,0.0029,0.0861
0.0153,0.0030,0.0860
0.0155,0.0030,0.0859
0.0158,0.0030,0.0858
0.0160,0.0031,0.0857
0.0162,0.0031,0.0857
0.0165,0.0031,0.0856
0.0167,0.0032,0.0855
0.0170,0.0032,0.0854
0.0172,0.0032,0.0854
0.0174,0.0032,0.0853
0.0177,0.0033,0.0852
0.0179,0.0033,0.0851
0.0181,0.0033,0.0851
0.0184,0.0034,0.0850
0.0186,0.0034,0.0849
0.0189,0.0034,0.0848
0.0191,0.0034,0.0847
0.0193,0.0034,0.0847
0.0196,0.0035,0.0846
0.0198,0.0035,0.0845
0.0201,0.0035,0.0844
0.0203,0.0035,0.0843
0.0205,0.0036,0.0842
0.0208,0.0036,0.0842
0.0210,0.0036,0.0841
0.0213,0.0036,0.0840
0.0215,0.0036,0.0839
0.0217,0.0036,0.0838
0.0220,0.0037,0.0837
0.0222,0.0037,0.0836
0.0225,0.0037,0.0836
0.0227,0.0037,0.0835
0.0230,0.0037,0.0834
0.0232,0.0037,0.0833
0.0234,0.0037,0.0832
0.0237,0.0038,0.0831
0.0239,0.0038,0.0830
0.0242,0.0038,0.0829
0.0244,0.0038,0.0828
0.0247,0.0038,0.0827
0.0249,0.0038,0.0827
0.0252,0.0038,0.0826
0.0254,0.0038,0.0825
0.0256,0.0039,0.0824
0.0259,0.0039,0.0823
0.0261,0.0039,0.0822
0.0264,0.0039,0.0821
0.0266,0.0039,0.0820
0.0269,0.0039,0.0819
0.0271,0.0039,0.0818
0.0274,0.0039,0.0817
0.0276,0.0039,0.0816
0.0279,0.0040,0.0815
0.0281,0.0040,0.0814
0.0284,0.0040,0.0813
0.0286,0.0040,0.0812
0.0289,0.0040,0.0811
0.0291,0.0040,0.0810
0.0294,0.0040,0.0809
0.0296,0.0040,0.0808
0.0299,0.0040,0.0807
0.0301,0.0040,0.0806
0.0304,0.0040,0.0804
0.0306,0.0040,0.0803
0.0309,0.0040,0.0802
0.0312,0.0040,0.0801
0.0314,0.0040,0.0800
0.0317,0.0040,0.0799
0.0319,0.0040,0.0798
0.0322,0.0040,0.0797
0.0325,0.0040,0.0796
0.0327,0.0041,0.0796
0.0330,0.0041,0.0795
0.0332,0.0040,0.0794
0.0335,0.0040,0.0793
0.0338,0.0040,0.0792
0.0340,0.0040,0.0791
0.0343,0.0040,0.0790
0.0346,0.0040,0.0789
0.0348,0.0040,0.0788
0.0351,0.0040,0.0788
0.0354,0.0040,0.0787
0.0356,0.0040,0.0786
0.0359,0.0040,0.0785
0.0362,0.0039,0.0784
0.0364,0.0039,0.0784
0.0367,0.0039,0.0783
0.0370,0.0039,0.0782
0.0372,0.0039,0.0782
0.0375,0.0039,0.0781
0.0378,0.0039,0.0781
0.0381,0.0038,0.0780
0.0383,0.0038,0.0779
0.0386,0.0038,0.0779
0.0389,0.0038,0.0778
0.0391,0.0037,0.0778
0.0394,0.0037,0.0778
0.0397,0.0037,0.0777
0.0399,0.0037,0.0777
0.0402,0.0037,0.0776
