X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0001,-0.0000,0.1000
-0.0001,-0.0000,0.1000
-0.0000,-0.0001,0.1001
0.0000,-0.0001,0.1000
0.0001,-0.0001,0.1000
0.0001,-0.0001,0.0999
0.0002,-0.0001,0.0999
0.0003,-0.0001,0.0998
0.0003,-0.0001,0.0997
0.0004,-0.0000,0.0996
0.0004,-0.0000,0.0995
0.0004,-0.0000,0.0993
0.0005,-0.0000,0.0992
0.0005,-0.0000,0.0991
0.0006,-0.0000,0.0989
0.0006,-0.0000,0.0988
0.0006,-0.0000,0.0986
0.0007,-0.0000,0.0984
0.0007,-0.0000,0.0983
0.0008,-0.0000,0.0981
0.0008,-0.0001,0.0979
0.0009,-0.0001,0.0977
0.0009,-0.0001,0.0975
0.0010,-0.0001,0.0973
0.0010,-0.0001,0.0971
0.0011,-0.0001,0.0968
0.0012,-0.0001,0.0966
0.0012,-0.0001,0.0964
0.0013,-0.0002,0.0961
0.0014,-0.0002,0.0959
0.0014,-0.0002,0.0956
0.0015,-0.0002,0.0954
0.0016,-0.0002,0.0951
0.0017,-0.0003,0.0948
0.0017,-0.0003,0.0945
0.0018,-0.0003,0.0943
0.0019,-0.0003,0.0940
0.0020,-0.0004,0.0937
0.0020,-0.0004,0.0934
0.0021,-0.0004,0.0931
0.0022,-0.0004,0.0928
0.0023,-0.0005,0.0925
0.0023,-0.0005,0.0922
0.0024,-0.0005,0.0918
0.0025,-0.0005,0.0915
0.0026,-0.0006,0.0912
0.0026,-0.0006,0.0909
0.0027,-0.0006,0.0905
0.0028,-0.0006,0.0902
0.0029,-0.0007,0.0898
0.0030,-0.0007,0.0895
0.0030,-0.0007,0.0891
0.0031,-0.0007,0.0888
0.0032,-0.0008,0.0884
0.0033,-0.0008,0.0881
0.0034,-0.0008,0.0877
0.0034,-0.0008,0.0873
0.0035,-0.0009,0.0869
0.0036,-0.0009,0.0866
0.0037,-0.0009,0.0862
0.0038,-0.0009,0.0858
0.0038,-0.0009,0.0854
0.0039,-0.0010,0.0850
0.0040,-0.0010,0.0846
0.0041,-0.0010,0.0842
0.0042,-0.0010,0.0838
0.0043,-0.0010,0.0834
0.0043,-0.0011,0.0830
0.0044,-0.0011,0.0826
0.0045,-0.0011,0.0822
0.0046,-0.0011,0.0818
0.0047,-0.0011,0.0814
0.0048,-0.0011,0.0809
0.0049,-0.0012,0.0805
0.0049,-0.0012,0.0801
0.0050,-0.0012,0.0797
0.0051,-0.0012,0.0792
0.0052,-0.0012,0.0788
0.0053,-0.0012,0.0784
0.0054,-0.0012,0.0779
0.0055,-0.0012,0.0775
0.0056,-0.0012,0.0771
0.0057,-0.0012,0.0766
0.0058,-0.0013,0.0762
0.0059,-0.0013,0.0757
0.0060,-0.0013,0.0753
0.0061,-0.0013,0.0748
0.0062,-0.0013,0.0744
0.0063,-0.0013,0.0740
0.0064,-0.0013,0.0735
0.0065,-0.0013,0.0731
0.0066,-0.0013,0.0726
0.0067,-0.0013,0.0722
0.0068,-0.0013,0.0717
0.0069,-0.0013,0.0712
0.0071,-0.0013,0.0708
0.0072,-0.0012,0.0703
0.0073,-0.0012,0.0699
0.0074,-0.0012,0.0694
0.0075,-0.0012,0.0690
0.0076,-0.0012,0.0685
0.0078,-0.0012,0.0681
0.0079,-0.0012,0.0676
0.0080,-0.0012,0.0672
0.0081,-0.0011,0.0667
0.0083,-0.0011,0.0663
0.0084,-0.0011,0.0658
0.0085,-0.0011,0.0654
0.0086,-0.0011,0.0649
0.0088,-0.0010,0.0645
0.0089,-0.0010,0.0640
0.0090,-0.0010,0.0636
0.0091,-0.0009,0.0631
0.0093,-0.0009,0.0627
0.0094,-0.0009,0.0622
0.0095,-0.0008,0.0618
0.0097,-0.0008,0.0614
0.0098,-0.0007,0.0609
0.0100,-0.0007,0.0605
0.0101,-0.0006,0.0601
0.0103,-0.0006,0.0597
0.0104,-0.0005,0.0593
0.0105,-0.0004,0.0589
0.0107,-0.0004,0.0585
0.0109,-0.0003,0.0581
0.0110,-0.0002,0.0577
0.0112,-0.0002,0.0573
0.0113,-0.0001,0.0569
0.0115,-0.0000,0.0565
0.0117,0.0001,0.0561
0.0118,0.0001,0.0558
0.0120,0.0002,0.0554
0.0122,0.0003,0.0550
0.0124,0.0004,0.0547
0.0126,0.0005,0.0543
0.0128,0.0006,0.0540
0.0130,0.0006,0.0537
0.0132,0.0007,0.0534
0.0134,0.0008,0.0530
0.0136,0.0009,0.0527
0.0138,0.0009,0.0524
0.0140,0.0010,0.0522
0.0142,0.0011,0.0519
0.0144,0.0012,0.0516
0.0147,0.0012,0.0513
0.0149,0.0013,0.0511
0.0151,0.0013,0.0509
0.0153,0.0014,0.0506
0.0156,0.0014,0.0504
0.0158,0.0015,0.0502
0.0161,0.0015,0.0500
0.0163,0.0016,0.0498
0.0166,0.0016,0.0496
0.0168,0.0016,0.0494
0.0171,0.0017,0.0492
0.0173,0.0017,0.0491
0.0176,0.0017,0.0489
0.0179,0.0017,0.0488
0.0181,0.0018,0.0487
0.0184,0.0018,0.0485
0.0186,0.0018,0.0484
0.0189,0.0018,0.0483
0.0192,0.0018,0.0482
0.0195,0.0018,0.0481
0.0197,0.0018,0.0480
0.0200,0.0018,0.0480
0.0203,0.0018,0.0479
0.0205,0.0018,0.0478
0.0208,0.0018,0.0477
0.0211,0.0018,0.0477
0.0214,0.0018,0.0476
0.0216,0.0018,0.0476
0.0219,0.0018,0.0475
0.0222,0.0018,0.0475
0.0224,0.0018,0.0474
0.0227,0.0017,0.0474
0.0230,0.0017,0.0474
0.0232,0.0017,0.0473
0.0235,0.0017,0.0473
0.0238,0.0017,0.0473
0.0240,0.0017,0.0473
0.0243,0.0017,0.0473
0.0245,0.0016,0.0472
0.0248,0.0016,0.0472
0.0251,0.0016,0.0472
0.0253,0.0016,0.0472
