X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0997
0.0007,-0.0000,0.0996
0.0007,-0.0000,0.0994
0.0008,-0.0000,0.0992
0.0008,-0.0000,0.0990
0.0009,0.0000,0.0989
0.0009,0.0000,0.0987
0.0010,0.0000,0.0984
0.0010,0.0001,0.0982
0.0011,0.0001,0.0980
0.0011,0.0001,0.0978
0.0012,0.0001,0.0975
0.0012,0.0001,0.0973
0.0013,0.0001,0.0970
0.0013,0.0001,0.0968
0.0013,0.0001,0.0965
0.0014,0.0001,0.0962
0.0014,0.0001,0.0959
0.0015,0.0001,0.0956
0.0016,0.0001,0.0953
0.0016,0.0001,0.0950
0.0017,0.0001,0.0947
0.0017,0.0001,0.0944
0.0018,0.0001,0.0941
0.0018,0.0001,0.0938
0.0019,0.0001,0.0934
0.0020,0.0001,0.0931
0.0020,0.0001,0.0927
0.0021,0.0001,0.0924
0.0022,0.0001,0.0920
0.0022,0.0001,0.0917
0.0023,0.0001,0.0913
0.0024,0.0001,0.0909
0.0024,0.0000,0.0905
0.0025,0.0000,0.0902
0.0026,0.0000,0.0898
0.0027,0.0000,0.0894
0.0027,-0.0000,0.0890
0.0028,-0.0000,0.0886
0.0029,-0.0001,0.0881
0.0030,-0.0001,0.0877
0.0030,-0.0001,0.0873
0.0031,-0.0001,0.0869
0.0032,-0.0001,0.0864
0.0033,-0.0002,0.0860
0.0034,-0.0002,0.0856
0.0035,-0.0002,0.0851
0.0036,-0.0002,0.0847
0.0036,-0.0002,0.0842
0.0037,-0.0003,0.0838
0.0038,-0.0003,0.0833
0.0039,-0.0003,0.0828
0.0040,-0.0003,0.0823
0.0041,-0.0004,0.0819
0.0042,-0.0004,0.0814
0.0043,-0.0004,0.0809
0.0044,-0.0004,0.0804
0.0045,-0.0005,0.0799
0.0046,-0.0005,0.0794
0.0047,-0.0005,0.0789
0.0048,-0.0005,0.0784
0.0049,-0.0006,0.0779
0.0050,-0.0006,0.0774
0.0052,-0.0006,0.0769
0.0053,-0.0006,0.0763
0.0054,-0.0006,0.0758
0.0055,-0.0007,0.0753
0.0056,-0.0007,0.0748
0.0057,-0.0007,0.0742
0.0058,-0.0007,0.0737
0.0060,-0.0007,0.0732
0.0061,-0.0007,0.0726
0.0062,-0.0008,0.0721
0.0063,-0.0008,0.0715
0.0064,-0.0008,0.0710
0.0066,-0.0008,0.0704
0.0067,-0.0008,0.0699
0.0068,-0.0008,0.0693
0.0069,-0.0008,0.0688
0.0071,-0.0008,0.0682
0.0072,-0.0008,0.0676
0.0073,-0.0008,0.0671
0.0075,-0.0008,0.0665
0.0076,-0.0008,0.0659
0.0077,-0.0009,0.0654
0.0079,-0.0009,0.0648
0.0080,-0.0009,0.0643
0.0082,-0.0009,0.0637
0.0083,-0.0008,0.0631
0.0084,-0.0008,0.0626
0.0086,-0.0008,0.0620
0.0087,-0.0008,0.0614
0.0089,-0.0008,0.0609
0.0090,-0.0008,0.0603
0.0092,-0.0008,0.0598
0.0093,-0.0007,0.0592
0.0095,-0.0007,0.0587
0.0097,-0.0007,0.0581
0.0098,-0.0007,0.0576
0.0100,-0.0006,0.0570
0.0102,-0.0006,0.0565
0.0103,-0.0006,0.0559
0.0105,-0.0005,0.0554
0.0107,-0.0005,0.0549
0.0109,-0.0004,0.0544
0.0110,-0.0004,0.0539
0.0112,-0.0003,0.0534
0.0114,-0.0003,0.0529
0.0116,-0.0002,0.0524
0.0118,-0.0002,0.0519
0.0120,-0.0001,0.0514
0.0122,-0.0001,0.0509
0.0124,-0.0000,0.0505
0.0126,0.0000,0.0500
0.0129,0.0001,0.0496
0.0131,0.0002,0.0491
0.0133,0.0002,0.0487
0.0136,0.0003,0.0483
0.0138,0.0004,0.0479
0.0140,0.0004,0.0475
0.0143,0.0005,0.0471
0.0145,0.0005,0.0467
0.0148,0.0006,0.0463
0.0151,0.0006,0.0460
0.0153,0.0007,0.0456
0.0156,0.0007,0.0453
0.0159,0.0008,0.0450
0.0161,0.0008,0.0446
0.0164,0.0008,0.0443
0.0167,0.0009,0.0440
0.0170,0.0009,0.0438
0.0173,0.0009,0.0435
0.0176,0.0009,0.0432
0.0179,0.0009,0.0430
0.0182,0.0009,0.0428
0.0185,0.0009,0.0425
0.0188,0.0009,0.0423
0.0191,0.0009,0.0421
0.0194,0.0009,0.0420
0.0197,0.0009,0.0418
0.0200,0.0009,0.0416
0.0203,0.0009,0.0415
0.0206,0.0009,0.0413
0.0209,0.0009,0.0412
0.0212,0.0009,0.0411
0.0215,0.0009,0.0410
0.0218,0.0009,0.0409
0.0221,0.0008,0.0408
0.0223,0.0008,0.0407
0.0226,0.0008,0.0407
0.0229,0.0008,0.0406
0.0232,0.0008,0.0405
0.0235,0.0007,0.0405
0.0238,0.0007,0.0404
0.0240,0.0007,0.0404
0.0243,0.0007,0.0403
0.0246,0.0006,0.0403
0.0249,0.0006,0.0403
0.0252,0.0006,0.0402
0.0254,0.0005,0.0402
0.0257,0.0005,0.0402
0.0260,0.0005,0.0402
0.0263,0.0004,0.0402
0.0266,0.0004,0.0401
0.0269,0.0004,0.0401
0.0271,0.0003,0.0401
0.0274,0.0003,0.0401
0.0277,0.0002,0.0401
0.0280,0.0002,0.0401
0.0283,0.0002,0.0401
0.0285,0.0001,0.0401
0.0288,0.0001,0.0401
0.0291,0.0000,0.0401
0.0294,0.0000,0.0401
0.0296,-0.0000,0.0402
0.0299,-0.0001,0.0402
0.0302,-0.0001,0.0402
0.0305,-0.0002,0.0402
0.0307,-0.0002,0.0402
0.0310,-0.0003,0.0402
0.0313,-0.0003,0.0402
0.0315,-0.0003,0.0403
0.0318,-0.0004,0.0403
0.0321,-0.0004,0.0403
0.0323,-0.0005,0.0403
0.0326,-0.0005,0.0403
0.0329,-0.0006,0.0404
0.0331,-0.0006,0.0404
0.0334,-0.0006,0.0404
0.0336,-0.0007,0.0404
0.0339,-0.0007,0.0404
0.0342,-0.0008,0.0405
0.0344,-0.0008,0.0405
0.0347,-0.0008,0.0405
