X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0997
0.0007,-0.0001,0.0996
0.0007,-0.0001,0.0994
0.0008,-0.0001,0.0993
0.0008,-0.0000,0.0991
0.0009,-0.0000,0.0989
0.0009,-0.0000,0.0987
0.0010,-0.0000,0.0985
0.0010,-0.0000,0.0983
0.0011,-0.0000,0.0981
0.0011,-0.0000,0.0979
0.0012,-0.0000,0.0977
0.0012,-0.0000,0.0975
0.0013,-0.0000,0.0973
0.0013,-0.0000,0.0970
0.0014,-0.0000,0.0968
0.0015,-0.0001,0.0965
0.0015,-0.0001,0.0963
0.0016,-0.0001,0.0961
0.0017,-0.0001,0.0958
0.0017,-0.0001,0.0955
0.0018,-0.0001,0.0953
0.0019,-0.0001,0.0950
0.0020,-0.0001,0.0948
0.0020,-0.0002,0.0945
0.0021,-0.0002,0.0942
0.0022,-0.0002,0.0940
0.0023,-0.0002,0.0937
0.0024,-0.0002,0.0934
0.0024,-0.0003,0.0931
0.0025,-0.0003,0.0929
0.0026,-0.0003,0.0926
0.0027,-0.0003,0.0923
0.0028,-0.0003,0.0920
0.0029,-0.0003,0.0917
0.0029,-0.0004,0.0915
0.0030,-0.0004,0.0912
0.0031,-0.0004,0.0909
0.0032,-0.0004,0.0906
0.0033,-0.0004,0.0903
0.0034,-0.0004,0.0900
0.0035,-0.0004,0.0897
0.0036,-0.0004,0.0894
0.0037,-0.0004,0.0891
0.0038,-0.0004,0.0888
0.0039,-0.0004,0.0885
0.0040,-0.0004,0.0882
0.0041,-0.0004,0.0879
0.0042,-0.0004,0.0876
0.0043,-0.0004,0.0873
0.0044,-0.0004,0.0870
0.0045,-0.0004,0.0868
0.0046,-0.0004,0.0865
0.0047,-0.0004,0.0862
0.0048,-0.0004,0.0859
0.0049,-0.0004,0.0856
0.0050,-0.0004,0.0853
0.0051,-0.0003,0.0850
0.0052,-0.0003,0.0847
0.0053,-0.0003,0.0844
0.0055,-0.0003,0.0841
0.0056,-0.0003,0.0838
0.0057,-0.0002,0.0835
0.0058,-0.0002,0.0832
0.0059,-0.0002,0.0829
0.0061,-0.0002,0.0826
0.0062,-0.0001,0.0823
0.0063,-0.0001,0.0820
0.0064,-0.0001,0.0818
0.0066,-0.0000,0.0815
0.0067,-0.0000,0.0812
0.0069,0.0000,0.0809
0.0070,0.0001,0.0806
0.0071,0.0001,0.0804
0.0073,0.0001,0.0801
0.0074,0.0002,0.0798
0.0076,0.0002,0.0795
0.0077,0.0003,0.0793
0.0079,0.0003,0.0790
0.0080,0.0004,0.0787
0.0082,0.0004,0.0785
0.0083,0.0005,0.0782
0.0085,0.0005,0.0779
0.0087,0.0006,0.0777
0.0088,0.0006,0.0774
0.0090,0.0007,0.0772
0.0092,0.0007,0.0769
0.0094,0.0008,0.0767
0.0095,0.0009,0.0764
0.0097,0.0009,0.0762
0.0099,0.0010,0.0759
0.0101,0.0010,0.0757
0.0103,0.0011,0.0755
0.0104,0.0012,0.0752
0.0106,0.0012,0.0750
0.0108,0.0013,0.0748
0.0110,0.0014,0.0745
0.0112,0.0015,0.0743
0.0114,0.0015,0.0741
0.0116,0.0016,0.0739
0.0118,0.0017,0.0737
0.0120,0.0018,0.0734
0.0122,0.0018,0.0732
0.0125,0.0019,0.0730
0.0127,0.0020,0.0728
0.0129,0.0021,0.0726
0.0131,0.0022,0.0724
0.0133,0.0022,0.0722
0.0135,0.0023,0.0720
0.0138,0.0024,0.0718
0.0140,0.0025,0.0716
0.0142,0.0026,0.0715
0.0144,0.0027,0.0713
0.0147,0.0027,0.0711
0.0149,0.0028,0.0709
0.0151,0.0029,0.0708
0.0154,0.0030,0.0706
0.0156,0.0031,0.0704
0.0158,0.0031,0.0703
0.0161,0.0032,0.0701
0.0163,0.0033,0.0699
0.0165,0.0034,0.0698
0.0168,0.0034,0.0696
0.0170,0.0035,0.0695
0.0173,0.0036,0.0693
0.0175,0.0037,0.0692
0.0177,0.0037,0.0690
0.0180,0.0038,0.0689
0.0182,0.0039,0.0688
0.0185,0.0039,0.0686
0.0187,0.0040,0.0685
0.0190,0.0040,0.0684
0.0192,0.0041,0.0683
0.0195,0.0041,0.0681
0.0198,0.0042,0.0680
0.0200,0.0042,0.0679
0.0203,0.0043,0.0678
0.0205,0.0043,0.0677
0.0208,0.0043,0.0676
0.0211,0.0044,0.0675
0.0213,0.0044,0.0674
0.0216,0.0044,0.0673
0.0218,0.0044,0.0672
0.0221,0.0044,0.0671
0.0224,0.0045,0.0670
0.0226,0.0045,0.0669
0.0229,0.0045,0.0668
0.0232,0.0045,0.0667
0.0234,0.0045,0.0666
0.0237,0.0045,0.0665
0.0240,0.0045,0.0665
0.0242,0.0045,0.0664
0.0245,0.0045,0.0663
0.0248,0.0045,0.0662
0.0250,0.0045,0.0662
0.0253,0.0045,0.0661
0.0256,0.0045,0.0660
0.0258,0.0045,0.0659
0.0261,0.0045,0.0659
0.0264,0.0045,0.0658
0.0266,0.0044,0.0657
0.0269,0.0044,0.0657
0.0272,0.0044,0.0656
0.0274,0.0044,0.0655
0.0277,0.0044,0.0655
0.0280,0.0044,0.0654
0.0282,0.0044,0.0654
0.0285,0.0043,0.0653
0.0287,0.0043,0.0653
0.0290,0.0043,0.0652
0.0293,0.0043,0.0652
0.0295,0.0043,0.0651
0.0298,0.0042,0.0651
0.0301,0.0042,0.0651
0.0303,0.0042,0.0650
0.0306,0.0042,0.0650
0.0308,0.0041,0.0649
0.0311,0.0041,0.0649
0.0314,0.0041,0.0649
0.0316,0.0041,0.0649
0.0319,0.0040,0.0648
0.0321,0.0040,0.0648
0.0324,0.0040,0.0648
0.0327,0.0039,0.0648
0.0329,0.0039,0.0648
0.0332,0.0039,0.0648
0.0334,0.0038,0.0648
0.0337,0.0038,0.0648
0.0339,0.0038,0.0648
0.0342,0.0037,0.0648
0.0345,0.0037,0.0648
0.0347,0.0036,0.0648
0.0350,0.0036,0.0648
0.0352,0.0036,0.0648
0.0355,0.0035,0.0648
0.0358,0.0035,0.0648
