X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0005,-0.0001,0.1000
0.0006,-0.0001,0.0999
0.0006,-0.0001,0.0998
0.0007,-0.0001,0.0997
0.0008,-0.0001,0.0996
0.0010,-0.0001,0.0995
0.0011,-0.0001,0.0994
0.0013,-0.0001,0.0994
0.0014,-0.0002,0.0994
0.0016,-0.0002,0.0994
0.0019,-0.0003,0.0994
0.0021,-0.0003,0.0995
0.0024,-0.0003,0.0995
0.0026,-0.0004,0.0996
0.0029,-0.0004,0.0997
0.0033,-0.0004,0.0998
0.0036,-0.0004,0.1000
0.0039,-0.0004,0.1001
0.0043,-0.0003,0.1003
0.0047,-0.0003,0.1005
0.0050,-0.0003,0.1007
0.0054,-0.0002,0.1009
0.0058,-0.0002,0.1011
0.0062,-0.0001,0.1013
0.0066,-0.0001,0.1015
0.0070,-0.0000,0.1018
0.0075,0.0000,0.1020
0.0079,0.0001,0.1022
0.0083,0.0001,0.1024
0.0088,0.0002,0.1026
0.0093,0.0003,0.1029
0.0097,0.0003,0.1031
0.0102,0.0004,0.1033
0.0106,0.0005,0.1035
0.0110,0.0006,0.1037
0.0115,0.0007,0.1038
0.0119,0.0008,0.1040
0.0123,0.0009,0.1042
0.0127,0.0010,0.1043
0.0130,0.0010,0.1045
0.0134,0.0011,0.1046
0.0137,0.0012,0.1047
0.0141,0.0013,0.1048
0.0144,0.0014,0.1049
0.0147,0.0015,0.1050
0.0150,0.0016,0.1051
0.0153,0.0017,0.1051
0.0155,0.0018,0.1052
0.0158,0.0019,0.1052
0.0161,0.0019,0.1052
0.0163,0.0020,0.1052
0.0166,0.0021,0.1052
0.0168,0.0022,0.1052
0.0170,0.0023,0.1052
0.0173,0.0024,0.1052
0.0175,0.0024,0.1052
0.0177,0.0025,0.1051
0.0180,0.0025,0.1051
0.0182,0.0026,0.1050
0.0184,0.0026,0.1050
0.0186,0.0027,0.1049
0.0188,0.0027,0.1049
0.0191,0.0028,0.1048
0.0193,0.0028,0.1048
0.0195,0.0029,0.1047
0.0197,0.0029,0.1046
0.0199,0.0029,0.1046
0.0202,0.0029,0.1045
0.0204,0.0029,0.1044
0.0206,0.0030,0.1044
0.0209,0.0030,0.1043
0.0211,0.0031,0.1042
0.0213,0.0031,0.1042
0.0216,0.0031,0.1041
0.0218,0.0031,0.1040
0.0221,0.0030,0.1040
0.0223,0.0030,0.1039
0.0226,0.0030,0.1038
0.0228,0.0031,0.1038
0.0231,0.0031,0.1037
0.0234,0.0032,0.1036
0.0237,0.0032,0.1035
0.0239,0.0032,0.1035
0.0242,0.0031,0.1034
0.0245,0.0031,0.1033
0.0247,0.0031,0.1032
0.0250,0.0031,0.1032
0.0253,0.0031,0.1031
0.0256,0.0032,0.1030
0.0259,0.0032,0.1029
0.0262,0.0032,0.1028
0.0265,0.0032,0.1027
0.0268,0.0031,0.1026
0.0271,0.0031,0.1025
0.0274,0.0030,0.1024
0.0277,0.0030,0.1023
0.0280,0.0031,0.1023
0.0283,0.0031,0.1022
0.0286,0.0031,0.1021
0.0289,0.0031,0.1020
0.0292,0.0031,0.1018
0.0295,0.0031,0.1017
0.0298,0.0030,0.1016
0.0301,0.0030,0.1015
0.0304,0.0030,0.1014
0.0307,0.0030,0.1013
0.0310,0.0030,0.1012
0.0313,0.0030,0.1011
0.0316,0.0031,0.1010
0.0319,0.0030,0.1009
0.0323,0.0030,0.1007
0.0326,0.0029,0.1006
0.0329,0.0029,0.1005
0.0332,0.0029,0.1004
0.0335,0.0029,0.1003
0.0338,0.0029,0.1001
0.0341,0.0029,0.1000
0.0345,0.0030,0.0999
0.0348,0.0029,0.0998
0.0351,0.0029,0.0996
0.0354,0.0029,0.0995
0.0357,0.0028,0.0994
0.0360,0.0028,0.0992
0.0363,0.0028,0.0991
0.0367,0.0028,0.0990
0.0370,0.0028,0.0988
0.0373,0.0029,0.0987
0.0376,0.0028,0.0986
0.0379,0.0028,0.0984
0.0382,0.0028,0.0983
0.0386,0.0027,0.0982
0.0389,0.0027,0.0980
0.0392,0.0027,0.0979
0.0395,0.0027,0.0977
0.0398,0.0028,0.0976
0.0401,0.0028,0.0975
0.0404,0.0027,0.0973
0.0407,0.0027,0.0972
0.0411,0.0027,0.0970
0.0414,0.0026,0.0969
0.0417,0.0026,0.0967
0.0420,0.0026,0.0966
0.0423,0.0027,0.0965
0.0426,0.0027,0.0963
0.0429,0.0027,0.0962
0.0432,0.0027,0.0960
0.0435,0.0026,0.0959
0.0438,0.0026,0.0957
0.0441,0.0026,0.0956
0.0444,0.0026,0.0954
0.0447,0.0026,0.0953
0.0450,0.0026,0.0951
0.0453,0.0026,0.0950
0.0456,0.0026,0.0948
0.0459,0.0026,0.0947
0.0462,0.0025,0.0945
0.0465,0.0025,0.0944
0.0468,0.0025,0.0942
0.0471,0.0025,0.0941
0.0474,0.0025,0.0939
0.0477,0.0026,0.0938
0.0480,0.0026,0.0936
0.0483,0.0026,0.0935
0.0486,0.0025,0.0933
0.0489,0.0025,0.0932
0.0492,0.0025,0.0930
0.0495,0.0025,0.0929
0.0498,0.0025,0.0927
0.0501,0.0025,0.0926
0.0504,0.0026,0.0924
0.0507,0.0026,0.0922
0.0509,0.0026,0.0921
0.0512,0.0026,0.0919
0.0515,0.0025,0.0918
0.0518,0.0025,0.0916
0.0521,0.0025,0.0915
0.0524,0.0025,0.0913
0.0526,0.0026,0.0912
0.0529,0.0026,0.0911
0.0532,0.0026,0.0909
0.0535,0.0026,0.0908
0.0538,0.0026,0.0906
0.0541,0.0026,0.0905
0.0544,0.0025,0.0904
0.0546,0.0025,0.0903
0.0549,0.0026,0.0901
0.0552,0.0026,0.0900
0.0555,0.0026,0.0899
0.0558,0.0026,0.0898
0.0561,0.0026,0.0897
0.0564,0.0026,0.0896
0.0567,0.0025,0.0896
0.0569,0.0025,0.0895
0.0572,0.0025,0.0894
0.0575,0.0025,0.0894
0.0578,0.0025,0.0894
0.0581,0.0025,0.0893
0.0584,0.0024,0.0893
0.0587,0.0024,0.0893
0.0590,0.0024,0.0893
0.0592,0.0023,0.0893
